id,trace_id,service,station,level,category,message,metadata,created_at
1,ruth-pws-ksea-20260324-131839173,wendy,KSEA,debug,signal,"No confirmed METAR yet, skipping PWS anticipation",,2026-03-24 13:18:39.191271+00
2,ruth-pws-kdal-20260324-131839474,wendy,KDAL,debug,signal,"No confirmed METAR yet, skipping PWS anticipation",,2026-03-24 13:18:39.478292+00
3,ruth-pws-kord-20260324-131839723,wendy,KORD,debug,signal,"No confirmed METAR yet, skipping PWS anticipation",,2026-03-24 13:18:39.72647+00
4,ruth-pws-klga-20260324-131839906,wendy,KLGA,debug,signal,"No confirmed METAR yet, skipping PWS anticipation",,2026-03-24 13:18:39.909281+00
5,ruth-pws-kmia-20260324-131840152,wendy,KMIA,debug,signal,"No confirmed METAR yet, skipping PWS anticipation",,2026-03-24 13:18:40.155738+00
6,ruth-pws-katl-20260324-131840404,wendy,KATL,debug,signal,"No confirmed METAR yet, skipping PWS anticipation",,2026-03-24 13:18:40.40819+00
7,ruth-pws-eglc-20260324-131840700,wendy,EGLC,debug,signal,"No confirmed METAR yet, skipping PWS anticipation",,2026-03-24 13:18:40.70328+00
8,ruth-pws-lfpg-20260324-131841063,wendy,LFPG,debug,signal,"No confirmed METAR yet, skipping PWS anticipation",,2026-03-24 13:18:41.066219+00
9,ruth-pws-cyyz-20260324-131841360,wendy,CYYZ,debug,signal,"No confirmed METAR yet, skipping PWS anticipation",,2026-03-24 13:18:41.363951+00
10,ruth-metar-kord-20260324-131841896,wendy,KORD,info,signal,"METAR: 0°C, max=0°C, bucket=32-33°F","{""prevBucket"": null}",2026-03-24 13:18:41.903305+00
11,ruth-metar-kord-20260324-131841896,wendy,KORD,warn,signal,No market found for bucket 32-33°F,,2026-03-24 13:18:41.931789+00
12,ruth-metar-kord-20260324-131841896,wendy,KORD,info,signal,Threshold crossed: none → 32-33°F,,2026-03-24 13:18:41.934615+00
13,ruth-metar-eglc-20260324-131841903,wendy,EGLC,info,signal,"METAR: 13°C, max=13°C, bucket=13°C","{""prevBucket"": null}",2026-03-24 13:18:41.940944+00
14,ruth-metar-eglc-20260324-131841903,wendy,EGLC,info,signal,Threshold crossed: none → 13°C,,2026-03-24 13:18:41.941562+00
15,ruth-metar-eglc-20260324-131841903,wendy,EGLC,info,guard,"Guards blocked: price_out_of_range | METAR 13.0°C, bucket 13°C, price 0.77","{""price"": 0.7675, ""bucket"": ""13°C""}",2026-03-24 13:18:41.943697+00
16,ruth-metar-katl-20260324-131841943,wendy,KATL,info,signal,Threshold crossed: none → 54-55°F,,2026-03-24 13:18:41.947096+00
17,ruth-metar-katl-20260324-131841943,wendy,KATL,info,signal,"METAR: 12.2°C, max=12.2°C, bucket=54-55°F","{""prevBucket"": null}",2026-03-24 13:18:41.94785+00
18,ruth-metar-katl-20260324-131841943,wendy,KATL,warn,signal,No market found for bucket 54-55°F,,2026-03-24 13:18:41.94787+00
19,ruth-metar-klga-20260324-131841946,wendy,KLGA,info,signal,Threshold crossed: none → 36-37°F,,2026-03-24 13:18:41.950104+00
20,ruth-metar-klga-20260324-131841946,wendy,KLGA,info,signal,"METAR: 2.2°C, max=2.2°C, bucket=36-37°F","{""prevBucket"": null}",2026-03-24 13:18:41.951017+00
21,ruth-metar-kdal-20260324-131841949,wendy,KDAL,info,signal,Threshold crossed: none → 60-61°F,,2026-03-24 13:18:41.954028+00
22,ruth-metar-kdal-20260324-131841949,wendy,KDAL,warn,signal,No market found for bucket 60-61°F,,2026-03-24 13:18:41.954216+00
23,ruth-metar-kmia-20260324-131841953,wendy,KMIA,info,signal,"METAR: 20.6°C, max=20.6°C, bucket=68-69°F","{""prevBucket"": null}",2026-03-24 13:18:41.957058+00
24,ruth-metar-kmia-20260324-131841953,wendy,KMIA,info,signal,Threshold crossed: none → 68-69°F,,2026-03-24 13:18:41.957896+00
25,ruth-metar-kmia-20260324-131841953,wendy,KMIA,warn,signal,No market found for bucket 68-69°F,,2026-03-24 13:18:41.958306+00
26,ruth-metar-ksea-20260324-131841957,wendy,KSEA,info,signal,"METAR: 6.7°C, max=6.7°C, bucket=44-45°F","{""prevBucket"": null}",2026-03-24 13:18:41.960411+00
27,ruth-metar-ksea-20260324-131841957,wendy,KSEA,info,signal,Threshold crossed: none → 44-45°F,,2026-03-24 13:18:41.960546+00
28,ruth-metar-ksea-20260324-131841957,wendy,KSEA,info,guard,"Guards blocked: before_trading_hours | METAR 44.1°F, bucket 44-45°F, price 0.00","{""price"": 0.0015, ""bucket"": ""44-45°F""}",2026-03-24 13:18:41.964326+00
29,ruth-metar-lfpg-20260324-131841965,wendy,LFPG,info,signal,"METAR: 18°C, max=18°C, bucket=18°C","{""prevBucket"": null}",2026-03-24 13:18:41.971163+00
30,ruth-metar-lfpg-20260324-131841965,wendy,LFPG,info,signal,Threshold crossed: none → 18°C,,2026-03-24 13:18:41.971281+00
31,ruth-metar-lfpg-20260324-131841965,wendy,LFPG,info,guard,"Guards blocked: price_out_of_range | METAR 18.0°C, bucket 18°C, price 0.79","{""price"": 0.79, ""bucket"": ""18°C""}",2026-03-24 13:18:41.976403+00
32,ruth-metar-kdal-20260324-131841949,wendy,KDAL,info,signal,"METAR: 16.1°C, max=16.1°C, bucket=60-61°F","{""prevBucket"": null}",2026-03-24 13:18:41.976581+00
33,ruth-metar-klga-20260324-131841946,wendy,KLGA,warn,signal,No market found for bucket 36-37°F,,2026-03-24 13:18:41.977733+00
34,ruth-metar-cyyz-20260324-131841977,wendy,CYYZ,info,signal,"METAR: -2°C, max=-2°C, bucket=-2°C","{""prevBucket"": null}",2026-03-24 13:18:41.981126+00
35,ruth-metar-cyyz-20260324-131841977,wendy,CYYZ,info,signal,Threshold crossed: none → -2°C,,2026-03-24 13:18:41.981435+00
36,ruth-metar-cyyz-20260324-131841977,wendy,CYYZ,info,guard,"Guards blocked: price_out_of_range | METAR -2.0°C, bucket -2°C, price 0.00","{""price"": 0.0005, ""bucket"": ""-2°C""}",2026-03-24 13:18:41.985202+00
37,ruth-pws-kmia-20260324-131850698,wendy,KMIA,info,signal,"PWS anticipation: MODERATE (score=0.534), METAR 69.1°F → estimated 69.8°F, bucket 68-69°F → 70-71°F","{""gap"": ""0.59"", ""conf"": ""1.00"", ""ramp"": ""0.00"", ""score"": 0.5337499999999993, ""current"": ""68-69°F"", ""predicted"": ""70-71°F"", ""tEstimated"": ""21.02""}",2026-03-24 13:18:50.700955+00
38,ruth-metar-kord-20260324-131851929,wendy,KORD,info,signal,"METAR: 0°C, max=0°C, bucket=32-33°F","{""prevBucket"": ""32-33°F""}",2026-03-24 13:18:51.933386+00
39,ruth-metar-eglc-20260324-131851933,wendy,EGLC,info,signal,"METAR: 13°C, max=13°C, bucket=13°C","{""prevBucket"": ""13°C""}",2026-03-24 13:18:51.936955+00
40,ruth-metar-katl-20260324-131851935,wendy,KATL,info,signal,"METAR: 12.2°C, max=12.2°C, bucket=54-55°F","{""prevBucket"": ""54-55°F""}",2026-03-24 13:18:51.940958+00
41,ruth-metar-klga-20260324-131851939,wendy,KLGA,info,signal,"METAR: 2.2°C, max=2.2°C, bucket=36-37°F","{""prevBucket"": ""36-37°F""}",2026-03-24 13:18:51.944466+00
42,ruth-metar-kdal-20260324-131851944,wendy,KDAL,info,signal,"METAR: 16.1°C, max=16.1°C, bucket=60-61°F","{""prevBucket"": ""60-61°F""}",2026-03-24 13:18:51.946849+00
43,ruth-metar-kmia-20260324-131851946,wendy,KMIA,info,signal,"METAR: 20.6°C, max=20.6°C, bucket=68-69°F","{""prevBucket"": ""68-69°F""}",2026-03-24 13:18:51.949112+00
44,ruth-metar-ksea-20260324-131851948,wendy,KSEA,info,signal,"METAR: 6.7°C, max=6.7°C, bucket=44-45°F","{""prevBucket"": ""44-45°F""}",2026-03-24 13:18:51.952338+00
45,ruth-metar-lfpg-20260324-131851952,wendy,LFPG,info,signal,"METAR: 18°C, max=18°C, bucket=18°C","{""prevBucket"": ""18°C""}",2026-03-24 13:18:51.954384+00
