id,station,temp_c,dewpoint_c,humidity_pct,wind_deg,wind_kt,gust_kt,visibility_m,cloud_layers,pressure_hpa,max_temp_c_6h,metar_raw,valid_utc,captured_at,trace_id,created_at
1,KORD,0,-8.3,54,190,8,,,"[{""altFt"": 12000, ""cover"": ""BKN""}, {""altFt"": 25000, ""cover"": ""BKN""}]",,,KORD 241251Z 19008KT 10SM BKN120 BKN250 00/M08 A3037 RMK AO2 SLP290 T00001083,2026-03-24 12:51:00+00,2026-03-24 13:18:41.896+00,ruth-metar-kord-20260324-131841896,2026-03-24 13:18:41.903275+00
2,EGLC,13,8,72,230,15,,9999,"[{""altFt"": 1800, ""cover"": ""BKN""}]",1013,,EGLC 241250Z AUTO 23015KT 9999 BKN018 13/08 Q1013,2026-03-24 12:50:00+00,2026-03-24 13:18:41.903+00,ruth-metar-eglc-20260324-131841903,2026-03-24 13:18:41.936772+00
3,KATL,12.2,-5.6,28,80,11,,,"[{""altFt"": 18000, ""cover"": ""FEW""}, {""altFt"": 25000, ""cover"": ""BKN""}]",,,KATL 241252Z 08011KT 10SM FEW180 BKN250 12/M06 A3027 RMK AO2 SLP249 VIRGA OHD-W-N T01221056 $,2026-03-24 12:52:00+00,2026-03-24 13:18:41.943+00,ruth-metar-katl-20260324-131841943,2026-03-24 13:18:41.946764+00
4,KLGA,2.2,-7.2,50,330,12,,,[],,,KLGA 241251Z 33012KT 10SM CLR 02/M07 A3038 RMK AO2 SLP287 T00221072,2026-03-24 12:51:00+00,2026-03-24 13:18:41.946+00,ruth-metar-klga-20260324-131841946,2026-03-24 13:18:41.949514+00
5,KDAL,16.1,7.2,56,120,7,,,"[{""altFt"": 20000, ""cover"": ""BKN""}, {""altFt"": 25000, ""cover"": ""OVC""}]",,,KDAL 241253Z 12007KT 10SM BKN200 OVC250 16/07 A3010 RMK AO2 SLP185 T01610072,2026-03-24 12:53:00+00,2026-03-24 13:18:41.949+00,ruth-metar-kdal-20260324-131841949,2026-03-24 13:18:41.953393+00
6,KMIA,20.6,15,70,360,6,,,"[{""altFt"": 2500, ""cover"": ""FEW""}]",,,KMIA 241253Z 36006KT 10SM FEW025 21/15 A3010 RMK AO2 SLP193 T02060150 $,2026-03-24 12:53:00+00,2026-03-24 13:18:41.953+00,ruth-metar-kmia-20260324-131841953,2026-03-24 13:18:41.9575+00
7,KSEA,6.7,5,89,130,6,,,"[{""altFt"": 3800, ""cover"": ""BKN""}, {""altFt"": 4800, ""cover"": ""OVC""}]",,,KSEA 241253Z 13006KT 7SM -RA BKN038 OVC048 07/05 A2984 RMK AO2 SLP114 P0004 T00670050 $,2026-03-24 12:53:00+00,2026-03-24 13:18:41.957+00,ruth-metar-ksea-20260324-131841957,2026-03-24 13:18:41.959982+00
8,LFPG,18,2,34,230,12,,,[],1019,,LFPG 241300Z 23012KT 170V260 CAVOK 18/02 Q1019 NOSIG,2026-03-24 13:00:00+00,2026-03-24 13:18:41.965+00,ruth-metar-lfpg-20260324-131841965,2026-03-24 13:18:41.969957+00
9,CYYZ,-2,-8,64,240,3,,,"[{""altFt"": 25000, ""cover"": ""FEW""}]",,,CYYZ 241300Z 24003KT 150V250 15SM FEW250 M02/M08 A3040 RMK CI1 SLP306,2026-03-24 13:00:00+00,2026-03-24 13:18:41.977+00,ruth-metar-cyyz-20260324-131841977,2026-03-24 13:18:41.98095+00
10,KORD,0,-8.3,54,190,8,,,"[{""altFt"": 12000, ""cover"": ""BKN""}, {""altFt"": 25000, ""cover"": ""BKN""}]",,,KORD 241251Z 19008KT 10SM BKN120 BKN250 00/M08 A3037 RMK AO2 SLP290 T00001083,2026-03-24 12:51:00+00,2026-03-24 13:18:51.929+00,ruth-metar-kord-20260324-131851929,2026-03-24 13:18:51.933016+00
11,EGLC,13,8,72,230,15,,9999,"[{""altFt"": 1800, ""cover"": ""BKN""}]",1013,,EGLC 241250Z AUTO 23015KT 9999 BKN018 13/08 Q1013,2026-03-24 12:50:00+00,2026-03-24 13:18:51.933+00,ruth-metar-eglc-20260324-131851933,2026-03-24 13:18:51.936334+00
12,KATL,12.2,-5.6,28,80,11,,,"[{""altFt"": 18000, ""cover"": ""FEW""}, {""altFt"": 25000, ""cover"": ""BKN""}]",,,KATL 241252Z 08011KT 10SM FEW180 BKN250 12/M06 A3027 RMK AO2 SLP249 VIRGA OHD-W-N T01221056 $,2026-03-24 12:52:00+00,2026-03-24 13:18:51.935+00,ruth-metar-katl-20260324-131851935,2026-03-24 13:18:51.940309+00
13,KLGA,2.2,-7.2,50,330,12,,,[],,,KLGA 241251Z 33012KT 10SM CLR 02/M07 A3038 RMK AO2 SLP287 T00221072,2026-03-24 12:51:00+00,2026-03-24 13:18:51.939+00,ruth-metar-klga-20260324-131851939,2026-03-24 13:18:51.944072+00
14,KDAL,16.1,7.2,56,120,7,,,"[{""altFt"": 20000, ""cover"": ""BKN""}, {""altFt"": 25000, ""cover"": ""OVC""}]",,,KDAL 241253Z 12007KT 10SM BKN200 OVC250 16/07 A3010 RMK AO2 SLP185 T01610072,2026-03-24 12:53:00+00,2026-03-24 13:18:51.944+00,ruth-metar-kdal-20260324-131851944,2026-03-24 13:18:51.946446+00
15,KMIA,20.6,15,70,360,6,,,"[{""altFt"": 2500, ""cover"": ""FEW""}]",,,KMIA 241253Z 36006KT 10SM FEW025 21/15 A3010 RMK AO2 SLP193 T02060150 $,2026-03-24 12:53:00+00,2026-03-24 13:18:51.946+00,ruth-metar-kmia-20260324-131851946,2026-03-24 13:18:51.948689+00
16,KSEA,6.7,5,89,130,6,,,"[{""altFt"": 3800, ""cover"": ""BKN""}, {""altFt"": 4800, ""cover"": ""OVC""}]",,,KSEA 241253Z 13006KT 7SM -RA BKN038 OVC048 07/05 A2984 RMK AO2 SLP114 P0004 T00670050 $,2026-03-24 12:53:00+00,2026-03-24 13:18:51.948+00,ruth-metar-ksea-20260324-131851948,2026-03-24 13:18:51.952051+00
17,LFPG,18,2,34,230,12,,,[],1019,,LFPG 241300Z 23012KT 170V260 CAVOK 18/02 Q1019 NOSIG,2026-03-24 13:00:00+00,2026-03-24 13:18:51.952+00,ruth-metar-lfpg-20260324-131851952,2026-03-24 13:18:51.954233+00
18,CYYZ,-2,-8,64,240,3,,,"[{""altFt"": 25000, ""cover"": ""FEW""}]",,,CYYZ 241300Z 24003KT 150V250 15SM FEW250 M02/M08 A3040 RMK CI1 SLP306,2026-03-24 13:00:00+00,2026-03-24 13:18:51.955+00,ruth-metar-cyyz-20260324-131851955,2026-03-24 13:18:51.958466+00
19,EGLC,13,8,72,230,12,,9999,"[{""altFt"": 1900, ""cover"": ""BKN""}]",1013,,EGLC 241320Z AUTO 23012KT 9999 BKN019 13/08 Q1013,2026-03-24 13:20:00+00,2026-03-24 13:24:14.4+00,ruth-metar-eglc-20260324-132414400,2026-03-24 13:24:14.420503+00
20,LFPG,18,3,37,240,11,,,[],1019,,LFPG 241330Z 24011KT 200V260 CAVOK 18/03 Q1019 NOSIG,2026-03-24 13:30:00+00,2026-03-24 13:32:17.253+00,ruth-metar-lfpg-20260324-133217253,2026-03-24 13:32:17.271538+00
21,KORD,1.1,-7.8,51,190,12,,,"[{""altFt"": 13000, ""cover"": ""BKN""}, {""altFt"": 25000, ""cover"": ""BKN""}]",,,KORD 241351Z 19012KT 10SM BKN130 BKN250 01/M08 A3037 RMK AO2 SLP292 T00111078,2026-03-24 13:51:00+00,2026-03-24 14:00:02.136+00,ruth-metar-kord-20260324-140002136,2026-03-24 14:00:02.33111+00
22,KATL,12.2,-5,30,90,13,,,"[{""altFt"": 11000, ""cover"": ""FEW""}, {""altFt"": 15000, ""cover"": ""SCT""}, {""altFt"": 20000, ""cover"": ""BKN""}]",,,KATL 241352Z 09013KT 10SM FEW110 SCT150 BKN200 12/M05 A3028 RMK AO2 SLP253 VIRGA OHD-ALQDS T01221050 $,2026-03-24 13:52:00+00,2026-03-24 14:00:02.418+00,ruth-metar-katl-20260324-140002418,2026-03-24 14:00:02.430458+00
23,KLGA,3.3,-8.9,40,350,13,19,,"[{""altFt"": 25000, ""cover"": ""FEW""}]",,,KLGA 241351Z 35013G19KT 10SM FEW250 03/M09 A3040 RMK AO2 SLP294 T00331089,2026-03-24 13:51:00+00,2026-03-24 14:00:02.322+00,ruth-metar-klga-20260324-140002322,2026-03-24 14:00:02.435035+00
24,EGLC,13,8,72,220,15,28,9999,"[{""altFt"": 2100, ""cover"": ""OVC""}]",1012,,EGLC 241350Z AUTO 22015G28KT 9999 OVC021 13/08 Q1012,2026-03-24 13:50:00+00,2026-03-24 14:00:02.449+00,ruth-metar-eglc-20260324-140002449,2026-03-24 14:00:02.459865+00
25,KDAL,16.7,8.3,58,130,10,,,"[{""altFt"": 21000, ""cover"": ""BKN""}, {""altFt"": 25000, ""cover"": ""BKN""}]",,,KDAL 241353Z 13010KT 10SM BKN210 BKN250 17/08 A3010 RMK AO2 SLP187 T01670083,2026-03-24 13:53:00+00,2026-03-24 14:00:02.488+00,ruth-metar-kdal-20260324-140002488,2026-03-24 14:00:02.502778+00
26,KMIA,22.8,15,61,,,,,[],,,KMIA 241353Z VRB03KT 10SM CLR 23/15 A3011 RMK AO2 SLP195 T02280150,2026-03-24 13:53:00+00,2026-03-24 14:00:02.558+00,ruth-metar-kmia-20260324-140002558,2026-03-24 14:00:02.591814+00
27,KSEA,6.1,5.6,97,0,0,,,"[{""altFt"": 1900, ""cover"": ""FEW""}, {""altFt"": 2900, ""cover"": ""SCT""}, {""altFt"": 3500, ""cover"": ""OVC""}]",,,KSEA 241353Z 00000KT 4SM -RA BR FEW019 SCT029 OVC035 06/06 A2980 RMK AO2 SLP100 P0009 T00610056 $,2026-03-24 13:53:00+00,2026-03-24 14:00:02.624+00,ruth-metar-ksea-20260324-140002624,2026-03-24 14:00:02.639236+00
28,LFPG,19,3,35,220,15,,,[],1018,,LFPG 241400Z 22015KT CAVOK 19/03 Q1018 NOSIG,2026-03-24 14:00:00+00,2026-03-24 14:02:23.097+00,ruth-metar-lfpg-20260324-140223097,2026-03-24 14:02:23.146776+00
29,KSEA,6.1,5.6,97,0,0,,,"[{""altFt"": 1900, ""cover"": ""SCT""}, {""altFt"": 3000, ""cover"": ""BKN""}, {""altFt"": 3500, ""cover"": ""OVC""}]",,,KSEA 241404Z 00000KT 2 1/2SM R16L/3500VP6000FT -RA BR SCT019 BKN030 OVC035 06/06 A2980 RMK AO2 P0001 T00610056 $,2026-03-24 14:04:00+00,2026-03-24 14:06:41.101+00,ruth-metar-ksea-20260324-140641101,2026-03-24 14:06:41.115353+00
30,CYYZ,-1,-9,55,210,9,,,"[{""altFt"": 12000, ""cover"": ""FEW""}, {""altFt"": 25000, ""cover"": ""SCT""}]",,,CYYZ 241400Z 21009KT 15SM FEW120 SCT250 M01/M09 A3039 RMK AC1CI3 AC TR SLP301,2026-03-24 14:00:00+00,2026-03-24 14:07:35.097+00,ruth-metar-cyyz-20260324-140735097,2026-03-24 14:07:35.134203+00
