id,station,median_temp_c,reading_count,readings,trace_id,captured_at,created_at
1,KSEA,6.388889,2,"[{""pwsId"": ""KWASEATT2476"", ""tempF"": 43.5, ""obsTime"": ""2026-03-24T13:18:00Z"", ""windDir"": 247, ""humidity"": 95, ""pressure"": 29.45, ""windGust"": 0, ""dewpointF"": 42.2, ""windSpeed"": 0}, {""pwsId"": ""KWASEATT2470"", ""tempF"": 43.5, ""obsTime"": ""2026-03-24T13:18:00Z"", ""windDir"": 74, ""humidity"": 94, ""pressure"": 29.84, ""windGust"": 2, ""dewpointF"": 41.9, ""windSpeed"": 0}]",ruth-pws-ksea-20260324-131839173,2026-03-24 13:18:39.173+00,2026-03-24 13:18:39.188809+00
2,KDAL,16.11111,3,"[{""pwsId"": ""KTXDALLA1343"", ""tempF"": 61, ""obsTime"": ""2026-03-24T12:55:00Z"", ""windDir"": 118, ""humidity"": 59, ""pressure"": 30.1, ""windGust"": 1.3, ""dewpointF"": 46.6, ""windSpeed"": 0.2}, {""pwsId"": ""KTXDALLA1236"", ""tempF"": 61, ""obsTime"": ""2026-03-24T13:18:28Z"", ""windDir"": 213, ""humidity"": 63, ""pressure"": 29.53, ""windGust"": 11.6, ""dewpointF"": 48.4, ""windSpeed"": 3.4}, {""pwsId"": ""KTXDALLA843"", ""tempF"": 60.3, ""obsTime"": ""2026-03-24T13:18:33Z"", ""windDir"": 186, ""humidity"": 62, ""pressure"": 29.54, ""windGust"": 1.1, ""dewpointF"": 47.1, ""windSpeed"": 0.9}]",ruth-pws-kdal-20260324-131839474,2026-03-24 13:18:39.474+00,2026-03-24 13:18:39.47833+00
3,KORD,0.6111111,3,"[{""pwsId"": ""KILROSEM4"", ""tempF"": 33.1, ""obsTime"": ""2026-03-24T13:18:35Z"", ""windDir"": 45, ""humidity"": 71, ""pressure"": 30.44, ""windGust"": 0, ""dewpointF"": 25, ""windSpeed"": 0}, {""pwsId"": ""KILBENSE15"", ""tempF"": 33.1, ""obsTime"": ""2026-03-24T13:17:00Z"", ""windDir"": 184, ""humidity"": 55, ""pressure"": 29.7, ""windGust"": 8.1, ""dewpointF"": 18.7, ""windSpeed"": 4.3}, {""pwsId"": ""KILROSEM2"", ""tempF"": 33.5, ""obsTime"": ""2026-03-24T13:17:45Z"", ""windDir"": 171, ""humidity"": 57, ""pressure"": 30.38, ""windGust"": 13, ""dewpointF"": 20, ""windSpeed"": 2}]",ruth-pws-kord-20260324-131839723,2026-03-24 13:18:39.723+00,2026-03-24 13:18:39.726415+00
4,KLGA,2.7777777,3,"[{""pwsId"": ""KNYNEWYO1974"", ""tempF"": 50.7, ""obsTime"": ""2026-03-24T13:18:22Z"", ""windDir"": 158, ""humidity"": 99, ""pressure"": 30.42, ""windGust"": 7, ""dewpointF"": 49, ""windSpeed"": 7}, {""pwsId"": ""KNYNEWYO1591"", ""tempF"": 37, ""obsTime"": ""2026-03-24T13:18:32Z"", ""windDir"": 21, ""humidity"": 53, ""pressure"": 30.35, ""windGust"": 11.4, ""dewpointF"": 21.6, ""windSpeed"": 8.9}, {""pwsId"": ""KNYNEWYO1552"", ""tempF"": 37, ""obsTime"": ""2026-03-24T13:18:00Z"", ""windDir"": 175, ""humidity"": 55, ""pressure"": 29.99, ""windGust"": 2.2, ""dewpointF"": 22.4, ""windSpeed"": 1.6}]",ruth-pws-klga-20260324-131839906,2026-03-24 13:18:39.906+00,2026-03-24 13:18:39.908711+00
5,KMIA,21.194445,2,"[{""pwsId"": ""KFLMIAMI706"", ""tempF"": 70.3, ""obsTime"": ""2026-03-24T13:18:31Z"", ""windDir"": 31, ""humidity"": 75, ""pressure"": 30.15, ""windGust"": 2.2, ""dewpointF"": 62.1, ""windSpeed"": 1.3}, {""pwsId"": ""KFLMIAMI578"", ""tempF"": 70, ""obsTime"": ""2026-03-24T13:15:27Z"", ""windDir"": 349, ""humidity"": 83, ""pressure"": 30.12, ""windGust"": 5, ""dewpointF"": 64, ""windSpeed"": 0}]",ruth-pws-kmia-20260324-131840152,2026-03-24 13:18:40.152+00,2026-03-24 13:18:40.155605+00
6,KATL,11.611111,3,"[{""pwsId"": ""KGAATLAN557"", ""tempF"": 52.9, ""obsTime"": ""2026-03-24T13:15:00Z"", ""windDir"": 62, ""humidity"": 32, ""pressure"": 30.28, ""windGust"": 3.4, ""dewpointF"": 23.8, ""windSpeed"": 0.7}, {""pwsId"": ""KGAHAPEV1"", ""tempF"": 52.8, ""obsTime"": ""2026-03-24T13:18:11Z"", ""windDir"": 203, ""humidity"": 37, ""pressure"": 30.36, ""windGust"": 2.2, ""dewpointF"": 27.3, ""windSpeed"": 1.6}, {""pwsId"": ""KGAATLAN378"", ""tempF"": 53, ""obsTime"": ""2026-03-24T13:18:36Z"", ""windDir"": 285, ""humidity"": 44, ""pressure"": 29.37, ""windGust"": 1, ""dewpointF"": 31.7, ""windSpeed"": 0}]",ruth-pws-katl-20260324-131840404,2026-03-24 13:18:40.404+00,2026-03-24 13:18:40.407788+00
7,EGLC,13,3,"[{""pwsId"": ""ILONDON828"", ""tempF"": 55.4, ""obsTime"": ""2026-03-24T13:17:00Z"", ""windDir"": 251, ""humidity"": 74, ""pressure"": 29.9, ""windGust"": 8.1, ""dewpointF"": 47.3, ""windSpeed"": 5.8}, {""pwsId"": ""ILONDO873"", ""tempF"": 56.1, ""obsTime"": ""2026-03-24T13:18:30Z"", ""windDir"": 292, ""humidity"": 77, ""pressure"": 30.5, ""windGust"": 0.8, ""dewpointF"": 48.9, ""windSpeed"": 0.8}, {""pwsId"": ""ILONDO636"", ""tempF"": 54.7, ""obsTime"": ""2026-03-24T13:18:31Z"", ""windDir"": 226, ""humidity"": 80, ""pressure"": 29.89, ""windGust"": 13.7, ""dewpointF"": 48.7, ""windSpeed"": 9.2}]",ruth-pws-eglc-20260324-131840700,2026-03-24 13:18:40.7+00,2026-03-24 13:18:40.702801+00
8,LFPG,18.555555,3,"[{""pwsId"": ""IROISS4"", ""tempF"": 65.1, ""obsTime"": ""2026-03-24T13:18:35Z"", ""windDir"": 17, ""humidity"": 40, ""pressure"": 29.75, ""windGust"": 6.9, ""dewpointF"": 40.3, ""windSpeed"": 4.3}, {""pwsId"": ""ITREMB16"", ""tempF"": 65.4, ""obsTime"": ""2026-03-24T13:18:16Z"", ""windDir"": 135, ""humidity"": 42, ""pressure"": 30.31, ""windGust"": 2.9, ""dewpointF"": 41.7, ""windSpeed"": 2}, {""pwsId"": ""IMITRY1"", ""tempF"": 66, ""obsTime"": ""2026-03-24T13:18:38Z"", ""windDir"": 194, ""humidity"": 46, ""pressure"": 30.26, ""windGust"": 2.5, ""dewpointF"": 44.8, ""windSpeed"": 0.2}]",ruth-pws-lfpg-20260324-131841063,2026-03-24 13:18:41.063+00,2026-03-24 13:18:41.06595+00
9,CYYZ,-1.7222222,3,"[{""pwsId"": ""IONTARIO1108"", ""tempF"": 30.6, ""obsTime"": ""2026-03-24T13:15:23Z"", ""windDir"": 195, ""humidity"": 67, ""pressure"": 30.44, ""windGust"": 7, ""dewpointF"": 21, ""windSpeed"": 3}, {""pwsId"": ""ITORON111"", ""tempF"": 27.5, ""obsTime"": ""2026-03-24T13:18:00Z"", ""windDir"": 333, ""humidity"": 71, ""pressure"": 30.37, ""windGust"": 1.1, ""dewpointF"": 19.4, ""windSpeed"": 1.1}, {""pwsId"": ""ITORON175"", ""tempF"": 28.9, ""obsTime"": ""2026-03-24T13:18:28Z"", ""windDir"": 316, ""humidity"": 66, ""pressure"": 30.56, ""windGust"": 2.2, ""dewpointF"": 19.2, ""windSpeed"": 2.2}]",ruth-pws-cyyz-20260324-131841360,2026-03-24 13:18:41.36+00,2026-03-24 13:18:41.363898+00
10,KSEA,6.388889,2,"[{""pwsId"": ""KWASEATT2476"", ""tempF"": 43.5, ""obsTime"": ""2026-03-24T13:18:00Z"", ""windDir"": 247, ""humidity"": 95, ""pressure"": 29.45, ""windGust"": 0, ""dewpointF"": 42.2, ""windSpeed"": 0}, {""pwsId"": ""KWASEATT2470"", ""tempF"": 43.5, ""obsTime"": ""2026-03-24T13:18:00Z"", ""windDir"": 74, ""humidity"": 94, ""pressure"": 29.84, ""windGust"": 2, ""dewpointF"": 41.9, ""windSpeed"": 0}]",ruth-pws-ksea-20260324-131849784,2026-03-24 13:18:49.784+00,2026-03-24 13:18:49.787426+00
