id,trace_id,station,action,side,bucket,token_id,amount,shares,price,order_id,fill_status,signal_type,market_snapshot,dry_run,created_at
1,marty-manual-20260324132950092,LFPG,BUY,YES,19C,86030058571993767490459212341318577884474308624008053657194166750112634913196,2,10,0.2,0x71b900d05ca68e258780319fca0ac00124c87656538df921dae4f43b7797e9fe,FILLED,MANUAL,,f,2026-03-24 13:29:56.36224+00
2,ruth-pws-lfpg-20260324-133251022,LFPG,BUY,YES,19°C,86030058571993767490459212341318577884474308624008053657194166750112634913196,5,22.027824,0.185,0x4875dcbbc41ff2034bb7ff9bc65e183443c655f4bdd5c6f6352b72de744074ff,FILLED,PWS,"{""noPrice"": 0.815, ""yesPrice"": 0.185}",f,2026-03-24 13:32:57.325101+00
3,ruth-pws-lfpg-20260324-133350934,LFPG,BUY,YES,19°C,86030058571993767490459212341318577884474308624008053657194166750112634913196,5,21.739128,0.185,0x6f0c757a2845629421833c67fd29096110fc5c181b59a15c1603f08e74c598ed,FILLED,PWS,"{""noPrice"": 0.815, ""yesPrice"": 0.185}",f,2026-03-24 13:33:57.19505+00
4,ruth-pws-lfpg-20260324-133451204,LFPG,BUY,YES,19°C,86030058571993767490459212341318577884474308624008053657194166750112634913196,5,18.639257,0.185,0x19bce3aa1fb12f58dee5b81c27902fbd31472e9b4becc250706e234f13b3d3ec,FILLED,PWS,"{""noPrice"": 0.815, ""yesPrice"": 0.185}",f,2026-03-24 13:34:57.548576+00
5,ruth-pws-lfpg-20260324-133551118,LFPG,BUY,YES,19°C,86030058571993767490459212341318577884474308624008053657194166750112634913196,5,17.586205,0.215,0x64875c75765a454c9d87ec996f054aea053314fed007943db20dd41035c5f270,FILLED,PWS,"{""noPrice"": 0.785, ""yesPrice"": 0.215}",f,2026-03-24 13:35:57.43448+00
6,ruth-pws-lfpg-20260324-133750955,LFPG,BUY,YES,19°C,86030058571993767490459212341318577884474308624008053657194166750112634913196,5,19.926294,0.215,0x36362cdca3bf4cabbb51422abadd9c07adc229f1a0c65b49c259f1119728ed8e,FILLED,PWS,"{""noPrice"": 0.785, ""yesPrice"": 0.215}",f,2026-03-24 13:37:57.2182+00
7,ruth-pws-lfpg-20260324-133851111,LFPG,BUY,YES,19°C,86030058571993767490459212341318577884474308624008053657194166750112634913196,5,18.888887,0.225,0xc771c904d6513c5d96882db71f7cbacc7eedab53bf97ed70cd76542007c9f29c,FILLED,PWS,"{""noPrice"": 0.775, ""yesPrice"": 0.225}",f,2026-03-24 13:38:57.395707+00
8,ruth-pws-lfpg-20260324-133951009,LFPG,BUY,YES,19°C,86030058571993767490459212341318577884474308624008053657194166750112634913196,5,20,0.225,0x570d1fbcd7272049158775c98d701570f8f31ddbc56ccb1623b2767aa5ddb8df,FILLED,PWS,"{""noPrice"": 0.775, ""yesPrice"": 0.225}",f,2026-03-24 13:39:57.282084+00
9,ruth-pws-lfpg-20260324-134050881,LFPG,BUY,YES,19°C,86030058571993767490459212341318577884474308624008053657194166750112634913196,5,17.066666,0.225,0xf78aa4f74b1413533878eff7fcdd63fc703989bc6ec8da6763f2c7ba6379cc17,FILLED,PWS,"{""noPrice"": 0.775, ""yesPrice"": 0.225}",f,2026-03-24 13:40:57.182746+00
10,ruth-pws-lfpg-20260324-134150755,LFPG,BUY,YES,19°C,86030058571993767490459212341318577884474308624008053657194166750112634913196,5,17.241379,0.23,0x77fa33269a86ce8b07934b9cd36225f8df2d64091e743f8a2b71e4ce8adfd5da,FILLED,PWS,"{""noPrice"": 0.77, ""yesPrice"": 0.23}",f,2026-03-24 13:41:57.047144+00
11,ruth-pws-lfpg-20260324-134251019,LFPG,BUY,YES,19°C,86030058571993767490459212341318577884474308624008053657194166750112634913196,5,17.241379,0.23,0x4acc796620369f66cf9f134e4a45312292dd94edee5e1e8320f6c10eaf1835fb,FILLED,PWS,"{""noPrice"": 0.77, ""yesPrice"": 0.23}",f,2026-03-24 13:42:57.286309+00
12,ruth-pws-klga-20260324-160050226,KLGA,BUY,YES,44-45°F,11264762238868470392969284368589596929044651568997101186373153312841457562692,5,39.611427,0.13,0x0cec76d2263f0bd13fb7c2ad1eb3e3a48827efb85fc9b6ee5ddb6ccc90ffdccd,FILLED,PWS,"{""noPrice"": 0.87, ""yesPrice"": 0.13}",f,2026-03-24 16:00:56.656903+00
13,ruth-pws-kmia-20260324-160150733,KMIA,BUY,YES,82-83°F,33745491037968262341909373072512343393110936988530679266195274968014628800984,5,10.416665,0.49,0x568166a8d54bf1e145929e8de207451f753fcf150a01a7ffa287c672271fa65b,FILLED,PWS,"{""noPrice"": 0.51, ""yesPrice"": 0.49}",f,2026-03-24 16:01:57.119796+00
14,ruth-pws-katl-20260324-160750743,KATL,BUY,YES,64-65°F,84935559489854017001356882174409503951169481584427012568916223633752789357264,5,23.164347,0.18,0x6a4c562e094d710da408c78f96682bae92355b56388ce2076459a576749e8ae7,FILLED,PWS,"{""noPrice"": 0.82, ""yesPrice"": 0.18}",f,2026-03-24 16:07:57.105618+00
